feature_label,layer,feature_id,activation_examples,activation_count,auto_category,manual_category,confidence,notes
L12_F500,12,500,setVerticalGroup; Datuak; RenderAtEndOf,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: setVerticalGroup+RenderAtEndOf=code but Datuak=Malay honorific. Mixed domains.
L12_F1000,12,1000,AddTagHelper; defaultstate; verwijspagina,3,POLYSEMANTIC,POLYSEMANTIC,MEDIUM,"Mixed signals - 33% syntax, 33% semantics Some ambiguity in examples."
L12_F3000,12,3000,Roskov; fubject; auffi,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L12_F5000,12,5000,principalColumn; Roskov; DeleteBehavior,3,SEMANTICS,SEMANTICS:CODE,HIGH,VALIDATED: 2/3 clear code tokens (EF Core). Roskov=surname but code-dominant pattern.
L12_F8000,12,8000,JspWriter; addCriterion; AnchorStyles,3,SEMANTICS,SEMANTICS:CODE,HIGH,100% semantic content with code theme Disagree with auto (SEMANTICS).
L12_F10000,12,10000,principalColumn; webdriver; DrawerToggle,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L12_F12000,12,12000,Normdatei; RectangleBorder; ulei,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: Normdatei=German authority control RectangleBorder=Flutter code ulei=Romanian oil. Not geographic. 3 domains.
L12_F14000,12,14000,StructEnd; Források; titleMargin,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L12_F15000,12,15000,box; ersen; surla,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F100,15,100,EDEFAULT; Impressive; OrNil,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F500,15,500,MathML; []:; <eos>,3,SEMANTICS,POLYSEMANTIC,MEDIUM,"Mixed signals - 67% syntax, 50% semantics Some ambiguity in examples. Disagree with auto (SEMANTICS)."
L15_F1000,15,1000,matchCondition; InitVars; Personendaten,3,SEMANTICS,POLYSEMANTIC,MEDIUM,Multiple unrelated semantic domains detected Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F3000,15,3000,espirituales; InputDecoration; StoreMessageInfo,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F5000,15,5000,ValueStyle; bewerken; --),3,SEMANTICS,POLYSEMANTIC,MEDIUM,"Mixed signals - 33% syntax, 33% semantics Some ambiguity in examples. Disagree with auto (SEMANTICS)."
L15_F8000,15,8000,ſtate; Reſ; purpoſe,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F10000,15,10000,staff; Staff; Signalez,3,SEMANTICS,SEMANTICS:CONCEPT,HIGH,VALIDATED: staff/Staff=workforce concept Signalez=French report. Concept not entity.
L15_F12000,15,12000,"tagext; "">//; GraphicsUnit",3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L15_F14000,15,14000,propOrder; rawDesc; Practical,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: propOrder+rawDesc=protobuf code Practical=general concept. Mixed code+concept.
L15_F15000,15,15000,ferrer; WebVitals; entrevista,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F100,20,100,myſelf; verwijspagina; |}{$,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F500,20,500,myſelf; Efq; raiſ,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F1000,20,1000,,0,UNKNOWN,UNKNOWN,MEDIUM,VALIDATED: No activation examples. Cannot classify without data.
L20_F3000,20,3000,ISNI; typelib; RenderAtEndOf,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F5000,20,5000,IN; IN; into,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F8000,20,8000,networks; network; network,3,SEMANTICS,SEMANTICS:CONCEPT,HIGH,100% semantic content with concept theme Disagree with auto (SEMANTICS).
L20_F10000,20,10000,<eos>; فرا; File,3,SEMANTICS,SEMANTICS:CONCEPT,MEDIUM,80% semantic content with concept theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F12000,20,12000,Rüyada; Expedia; pourrais,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L20_F14000,20,14000,front,1,SEMANTICS,SEMANTICS:CONCEPT,HIGH,100% semantic content with concept theme Disagree with auto (SEMANTICS).
L20_F15000,20,15000,side; Side; Side,3,SEMANTICS,SEMANTICS:CONCEPT,HIGH,100% semantic content with concept theme Disagree with auto (SEMANTICS).
L25_F100,25,100,findpost; ClientSize; ValueGenerated,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L25_F500,25,500,Xna; BeginInit; AttributeSet,3,SEMANTICS,SEMANTICS:CODE,HIGH,VALIDATED: All 3 programming tokens (XNA framework WinForms Android). Clear code pattern.
L25_F1000,25,1000,])[; routine; djangoproject,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L25_F3000,25,3000,Gro; queryInterface; cheibe,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: queryInterface=COM/XPCOM code but Gro+cheibe are unclear fragments. Mixed.
L25_F5000,25,5000,vues; hesive; Checked,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L25_F8000,25,8000,free; free; Free,3,SEMANTICS,SEMANTICS:CONCEPT,HIGH,100% semantic content with concept theme Disagree with auto (SEMANTICS).
L25_F10000,25,10000,متعلقه; ]--;; revalidate,3,SEMANTICS,SEMANTICS:CONCEPT,MEDIUM,80% semantic content with concept theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L25_F12000,25,12000,sarcoma; ArgsConstructor; tartalmaz,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L25_F14000,25,14000,Paglinawan; bootstrapcdn; ViewInit,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: bootstrapcdn+ViewInit=code but Paglinawan=Filipino surname. Mixed domains.
L25_F15000,25,15000,pleaſure; poffible; myſelf,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
